"Run1_Pred","Run1_Label","Run2_Pred","Run2_Label","Run3_Pred","Run3_Label","Run4_Pred","Run4_Label","Run5_Pred","Run5_Label","Run6_Pred","Run6_Label"
3.5047452770645e-22,1,0.999999999574963,2,0.968205664298795,2,0.169411353025496,2,0.989938200613054,2,7.92536884529931e-06,2
5.20935400776246e-27,1,1.6489596786144e-05,1,0.999899088244295,1,0.923603256946582,1,0.0504046005184381,1,2.65559307602064e-12,1
9.29096909668825e-23,1,9.86824984258417e-06,1,0.979692917162815,1,0.000607885356943765,1,0.000125505462673034,1,8.12328907319258e-17,1
1.20104788203814e-20,1,0.999999999645657,2,0.999642409178935,2,0.0895037130653061,2,0.564368849486459,2,2.86943068697891e-09,2
7.40643717155808e-23,1,4.55446234246372e-14,1,0.0219850832393067,1,0.00117863184606241,1,0.162605886344689,1,5.26152553780748e-07,1
2.81265492984497e-18,1,5.93705034061464e-06,1,0.981921348805375,1,0.773967907541243,1,0.0211820604010117,1,2.63152015929849e-11,1
1.34332438895908e-22,1,5.46458740542017e-05,1,0.999968021210144,1,0.9564745212928,1,0.0230588621393127,1,5.28224627812805e-15,1
0.999999639969459,2,0.000167338919974186,1,0.890664124438043,1,0.0636186160614018,1,0.00362360763762755,1,1.09189930103028e-15,1
1.30243411234712e-20,1,0.999999910074378,2,0.999778075323602,2,0.540577492575037,2,0.590930403738271,2,4.42598995664347e-09,2
4.39288017982576e-18,1,2.09916958605436e-05,1,0.999999572630666,1,0.999996369358243,1,0.994961178947599,1,1.34074782880245e-11,1
1.51619546499816e-22,1,3.37058454898989e-05,1,0.999976116209112,1,0.999819121048612,1,0.0336463662179126,1,1.98948710499287e-13,1
8.19357718425798e-23,1,1.21433724658026e-05,1,0.983269542770373,1,0.88042680551625,1,0.953259419641918,1,1.43815069433736e-08,1
2.19824109890184e-25,1,8.11722081363711e-05,1,0.999447471398716,1,0.999062232621956,1,0.10474497665698,1,3.97639595870256e-15,1
7.20205955302688e-18,1,0.999999999664855,2,0.993389954100386,2,0.0148764907172767,2,0.891838626541513,2,4.47233268495176e-06,2
