"Run1_Pred","Run1_Label","Run2_Pred","Run2_Label","Run3_Pred","Run3_Label","Run4_Pred","Run4_Label","Run5_Pred","Run5_Label","Run6_Pred","Run6_Label"
0.61501028539003,2,0.999998438010062,1,0.999999440513762,1,0.999994382013631,1,0.999999613049408,1,0.999999613049408,2
0.999996208800847,1,0.999998533486416,1,0.999996935848642,1,7.30378445876286e-10,2,0.999999988309255,1,0.999999988309255,2
0.999999935857813,1,0.999997932366008,1,0.999999915107825,1,2.56412151606522e-09,2,0.00379391303470773,2,0.00379391303470773,2
0.747691771269967,2,0.999999816115574,1,0.999248015867423,1,2.01214744577129e-10,2,9.85257465927998e-15,2,9.85257465927998e-15,2
0.999999971567972,1,0.999999930961337,1,0.999999903843605,1,3.57457466763728e-10,2,0.999999627784246,1,0.999999627784246,1
0.999997241088459,1,0.999998795038847,1,0.999994810023897,1,1.13233704128248e-09,2,0.999999640575551,1,0.999999640575551,2
0.999997629963189,1,0.9999993793855,1,0.999992181272235,1,0.999993593649331,1,1.72878049806964e-15,2,1.72878049806964e-15,2
0.999998393170964,1,0.927207372172063,2,0.999999191099781,1,1.02997457342238e-11,2,0.999986105077625,2,0.999986105077625,2
0.896898194159513,2,0.999999968052419,1,0.998908339247727,1,6.25704241443706e-12,2,0.0012293183365248,2,0.0012293183365248,2
0.997799951012456,1,0.9999924568178,1,0.999987884297701,1,1.57449399848225e-11,2,0.126581349362925,2,0.126581349362925,2
0.999905394301201,1,0.999999906838399,1,0.99995345684984,1,1.22651181068724e-10,2,0.0105779814483923,2,0.0105779814483923,2
0.999799853436821,1,0.999994088346228,1,0.999987482186173,1,0.9999999618456,1,4.69303189350108e-14,2,4.69303189350108e-14,2
0.999945502832957,1,0.999999935406854,1,0.999999982555432,1,0.999999997690048,1,0.165493513545548,2,0.165493513545548,2
0.41654968827948,2,0.999999208103981,1,0.999998033811733,1,2.10479924229191e-08,2,0.0276670802207028,2,0.0276670802207028,2
0.999999992880493,1,0.999999999057617,1,0.99999831216278,1,0.745609147930952,1,0.222661424975551,1,0.222661424975551,2
0.996872176216191,1,0.999999972756248,1,0.999997141814818,1,0.999997392829296,1,4.17018954385003e-14,2,4.17018954385003e-14,2
0.999999992618874,1,0.999983704850279,1,0.995029845935773,1,2.6578257805873e-09,2,7.97079099321414e-09,2,7.97079099321414e-09,2
